graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask,feat
0,4,6,0,0,0,0,5
0,5,6,1,0,0,0,8.25
0,2,7,2,0,0,0,5
0,0,7,3,0,0,0,1
0,0,8,4,0,0,0,7.59
0,7,8,5,0,0,0,4.05
0,3,9,6,0,0,0,5
0,6,9,7,0,0,0,9.65
0,1,10,8,0,0,0,8.56
0,9,10,9,0,0,0,1.7
0,9,11,10,0,0,0,11.28
0,8,11,11,0,0,0,4.82
0,10,11,12,0,0,0,6.87
1,2,6,0,0,0,0,5
1,0,6,1,0,0,0,-3.5
1,1,7,2,0,0,0,8.56
1,0,7,3,0,0,0,-2.7
1,6,8,4,0,0,0,8.42
1,0,8,5,0,0,0,13.68
1,5,9,6,0,0,0,8.25
1,4,9,7,0,0,0,5
1,3,10,8,0,0,0,5
1,9,10,9,0,0,0,9.65
1,7,11,10,0,0,0,7.24
1,10,11,11,0,0,0,12.96
1,8,11,12,0,0,0,7.39
2,2,6,0,0,0,0,5
2,3,6,1,0,0,0,-0.7
2,6,7,2,0,0,0,4.88
2,0,7,3,0,0,0,8.56
2,1,8,4,0,0,0,8.56
2,7,8,5,0,0,0,1.2
2,3,9,6,0,0,0,5.21
2,4,9,7,0,0,0,2.9
2,5,10,8,0,0,0,8.25
2,4,10,9,0,0,0,4.77
2,10,11,10,0,0,0,6.81
2,9,11,11,0,0,0,-0.3
2,8,12,12,0,0,0,8.94
2,11,12,13,0,0,0,6.76
2,9,13,14,0,0,0,7.27
2,7,13,15,0,0,0,4.69
2,12,13,16,0,0,0,3.56
3,2,6,0,0,0,0,5
3,0,6,1,0,0,0,-3.4
3,5,7,2,0,0,0,8.25
3,4,7,3,0,0,0,5
3,6,8,4,0,0,0,8.33
3,0,8,5,0,0,0,11.89
3,7,9,6,0,0,0,9.65
3,3,9,7,0,0,0,5
3,1,10,8,0,0,0,8.56
3,9,10,9,0,0,0,-0.5
3,9,11,10,0,0,0,13.46
3,10,11,11,0,0,0,9.06
3,8,11,12,0,0,0,4.82
4,2,6,0,0,0,0,5
4,0,6,1,0,0,0,-3.7
4,5,7,2,0,0,0,8.25
4,4,7,3,0,0,0,5
4,7,8,4,0,0,0,9.65
4,3,8,5,0,0,0,5
4,6,9,6,0,0,0,8.62
4,0,9,7,0,0,0,12.2
4,1,10,8,0,0,0,8.56
4,8,10,9,0,0,0,-0.6
4,9,11,10,0,0,0,4.82
4,10,11,11,0,0,0,9.16
4,8,11,12,0,0,0,13.56
5,2,6,0,0,0,0,5
5,3,6,1,0,0,0,-2.5
5,3,7,2,0,0,0,6.15
5,6,7,3,0,0,0,-0.6
5,6,8,4,0,0,0,-2
5,0,8,5,0,0,0,0.9
5,5,9,6,0,0,0,8.25
5,4,9,7,0,0,0,5
5,6,10,8,0,0,0,7.31
5,8,10,9,0,0,0,2.79
5,1,11,10,0,0,0,8.56
5,0,11,11,0,0,0,-3.3
5,7,12,12,0,0,0,-6.16
5,9,12,13,0,0,0,-4.4
5,11,13,14,0,0,0,6.4
5,0,13,15,0,0,0,10.41
5,9,14,16,0,0,0,13.1
5,12,14,17,0,0,0,6.63
5,14,15,18,0,0,0,15.29
5,10,15,19,0,0,0,5.09
5,13,15,20,0,0,0,16.22
6,2,6,0,0,0,0,5
6,0,6,1,0,0,0,-2
6,0,7,2,0,0,0,10.52
6,6,7,3,0,0,0,6.95
6,5,8,4,0,0,0,8.25
6,4,8,5,0,0,0,5
6,3,9,6,0,0,0,5
6,8,9,7,0,0,0,9.65
6,7,10,8,0,0,0,4.82
6,1,10,9,0,0,0,-2.6
6,9,11,10,0,0,0,12.96
6,10,11,11,0,0,0,-1
6,10,12,12,0,0,0,4.28
6,1,12,13,0,0,0,11.11
6,11,12,14,0,0,0,13.91
7,4,6,0,0,0,0,5
7,5,6,1,0,0,0,8.25
7,2,7,2,0,0,0,5
7,3,7,3,0,0,0,-1.4
7,7,8,4,0,0,0,4.5
7,0,8,5,0,0,0,8.56
7,1,9,6,0,0,0,8.56
7,8,9,7,0,0,0,1.4
7,6,10,8,0,0,0,9.65
7,9,10,9,0,0,0,8.15
7,10,11,10,0,0,0,3.53
7,3,11,11,0,0,0,5.8
7,8,11,12,0,0,0,6.16
8,4,6,0,0,0,0,5
8,5,6,1,0,0,0,8.25
8,2,7,2,0,0,0,5
8,3,7,3,0,0,0,0.5
8,0,8,4,0,0,0,8.56
8,7,8,5,0,0,0,5.29
8,1,9,6,0,0,0,8.56
8,8,9,7,0,0,0,4.32
8,9,10,8,0,0,0,12.49
8,6,10,9,0,0,0,9.65
8,3,10,10,0,0,0,4.74
9,2,6,0,0,0,0,5
9,3,6,1,0,0,0,-1
9,6,7,2,0,0,0,4.81
9,0,7,3,0,0,0,8.56
9,4,8,4,0,0,0,5
9,5,8,5,0,0,0,8.25
9,1,9,6,0,0,0,8.56
9,7,9,7,0,0,0,-2.3
9,7,10,8,0,0,0,5.22
9,9,10,9,0,0,0,10.58
9,8,11,10,0,0,0,9.65
9,10,11,11,0,0,0,-4.6
9,11,12,12,0,0,0,14.24
9,3,12,13,0,0,0,5.37
9,10,12,14,0,0,0,18.33
10,4,6,0,0,0,0,5
10,5,6,1,0,0,0,8.25
10,2,7,2,0,0,0,5
10,3,7,3,0,0,0,0.8
10,6,8,4,0,0,0,9.65
10,3,8,5,0,0,0,4.76
