graph_id,label,feat
0,0,559.5;3;11.69;7.5;2.83;1;11.28;6.06;2.88
1,0,667.35;3;11.69;6.97;3.2;2.7;13.68;6.53;4.86
2,0,577.75;2.04;12;6.68;3.35;0.3;8.94;5.08;2.92
3,0,646.52;3;11.69;7.56;2.94;0.5;13.46;6.55;4.48
4,0,651.81;3;11.69;7.69;2.95;0.6;13.56;6.58;4.6
5,0,879.19;2.61;11.53;6.9;2.61;0.6;16.22;4.67;6.17
6,0,665.07;2.01;11.69;6.76;3.46;1;13.91;6.12;4.97
7,0,591.36;3;11.38;7.38;2.74;1.4;9.65;5.63;3.05
8,0,559.5;3;11.95;8.1;3.09;0.5;12.49;6.58;3.12
9,0,727.22;2.88;11.72;7.09;3.28;1;18.33;6.38;5.8
10,0,571.37;3;10.77;7.21;2.49;0.79;12.27;5.96;3.4
11,0,618.03;2.65;11.69;7.1;3.08;2.2;12.96;6.17;4.12
12,0,561.99;3;11.69;7.03;2.96;0.3;12.96;6;3.4
13,0,659.95;2.65;12;6.73;3.37;1.7;12.96;6.14;4.29
14,0,566.46;2;11.72;6.99;3.02;0.7;12.96;6.19;3.51
15,0,735.5;2.34;10.64;6.53;3.2;0.4;12.72;5.02;4.51
16,0,657.55;2.29;11.69;7.04;3.37;1.43;12.96;5.6;4.55
17,0,659.43;3;11.69;7.1;2.74;1.1;12.96;6.51;4.63
18,0,559.5;3;11.92;8.1;3.1;0.5;12.49;6.58;3.12
19,0,655.31;3;11.69;7.59;3.03;1.44;17.84;6.38;5.32
20,0,622.11;2.49;11.69;6.98;3.28;1.4;12.96;6.26;4.41
21,0,694.1;2.69;11.69;7.46;3.19;0.2;12.96;5.81;4.93
22,0,601.9;2.64;11.69;6.9;3.48;0.5;12.96;6.3;4.24
23,0,584.27;3;11.69;6.51;2.76;2.6;12.96;6.75;3.71
24,0,634.67;3;11.69;7.47;3.02;1.8;11.79;6.37;3.9
25,0,574.22;2.69;11.98;6.96;3.12;1.5;12.96;5.95;3.68
26,0,706.26;2.82;11.3;7.02;3.16;1.7;12.98;5.67;4.9
27,0,584.45;3;11.69;7.55;2.86;0.8;12.17;6.28;3.51
28,0,729.1;2.23;11.48;7.28;2.71;0.5;12.96;6.1;5.11
29,0,575.77;2.38;11.69;6.81;3.4;1.65;12.96;5.99;3.86
30,0,603.91;2.41;10.9;6.64;2.83;0.3;12.63;5.52;3.86
31,0,730.09;3;11.72;7.14;2.5;0.2;15.11;4.84;5.32
32,0,653.34;3;11.69;7.47;2.9;3.7;12.68;6.2;3.9
33,0,580.76;3;11.81;7.52;2.93;0.7;12.27;6.27;3.49
34,0,559.5;3;11.69;7.36;2.94;2.09;12.96;6.55;2.95
35,0,587.7;2.9;11.69;6.88;3.26;0.2;12.96;6.27;3.97
36,0,608.85;3;11.75;7.5;2.85;2.1;9.65;5.7;2.92
37,0,639.38;3;11.89;7.47;3.06;3.5;16.44;7.07;4.65
38,0,582.25;3;11.81;7.51;2.76;1.2;12.96;6.13;3.49
39,0,688.21;2.12;11.87;6.39;3.07;1.2;15.98;6.09;4.91
40,0,593.73;3;11.89;7.26;2.79;0.1;12.96;6.36;3.82
41,0,641.1;2.01;12;7.13;3.15;0.3;12.82;5.71;3.83
42,0,619.14;3;11.69;7.56;3.12;1.37;16.15;6.24;4.61
43,0,631.62;2.35;11.98;7.02;2.98;1.7;12.96;6.32;4.34
44,0,711.14;2.06;11.69;7.07;2.97;3.4;13.47;6.54;5.26
45,0,568.87;2.45;11.72;7.75;3.38;0.4;12;5.96;3.33
46,0,607.98;2.19;11.69;6.34;2.72;0.1;12.96;6.11;4.17
47,0,615.58;2.87;11.73;7.4;2.82;0.7;12.39;6.26;4.38
48,0,581.94;2.04;11.69;6.98;3.17;1.48;12.96;5.94;3.9
49,0,693.94;3;11.69;7.71;3.05;1.1;14.23;6.61;4.98
50,0,653.44;2.38;11.83;7.13;3.19;2;12.96;5.47;4.7
51,0,592.7;3;11.69;7.46;2.99;0.2;14.86;6.42;4.25
52,0,666.79;3;11.72;7.16;2.73;1.2;13.61;6.58;4.81
53,0,611.21;2.78;11.69;6.85;3.19;0.4;12.96;6.3;4.48
54,0,611.3;3;11.78;7.45;3.14;0.7;13.66;6.44;4.12
55,0,655.73;3;11.9;7.62;3.16;1.45;17.44;6.35;5.15
56,0,595.24;2.49;11.91;7.1;3.04;2.31;12.96;6.1;3.73
57,0,562.92;2.09;11.69;7.45;3.55;0.2;12.96;5.99;3.4
58,0,667.84;2.11;11.71;7.71;3.36;1.9;13.24;6.48;4.59
59,0,669.03;3;11.81;6.83;3.22;3.2;12.96;6.5;4.96
60,0,599.32;2.09;11.71;7.45;3.49;1.8;12.96;6.92;3.58
