graph_id,node_id,label,feat,X,Y,Z
0,0,0,2,27,23,0
0,1,0,1,31,21,0
0,2,0,1,30,45,0
0,3,0,1,40,45,0
0,4,0,1,50,45,0
0,5,0,1,55,42,0
0,6,1,3,50,42,0
0,7,1,3,30,33.57,0
0,8,1,3,30.33,28.66,0
0,9,1,4,40,35.94,0
0,10,1,3,35.08,28.41,0
0,11,1,3,37.48,32.99,0
1,0,0,3,27,23,0
1,1,0,1,31,21,0
1,2,0,1,30,45,0
1,3,0,1,40,45,0
1,4,0,1,50,45,0
1,5,0,1,55,42,0
1,6,1,3,30,33.65,0
1,7,1,3,32.57,23.85,0
1,8,1,3,29.15,26.13,0
1,9,1,3,50,42,0
1,10,1,3,40,35.94,0
1,11,1,3,33.41,27.95,0
2,0,0,1,27,23,0
2,1,0,1,31,21,0
2,2,0,1,30,45,0
2,3,0,2,40,45,0
2,4,0,2,50,45,0
2,5,0,1,55,42,0
2,6,1,3,30,42.58,0
2,7,1,4,31.58,31.33,0
2,8,1,3,36.06,30.2,0
2,9,1,4,39.45,40.83,0
2,10,1,3,52.06,42,0
2,11,1,3,42.26,35.06,0
2,12,1,3,37.27,31.84,0
2,13,1,3,36.85,35.61,0
3,0,0,2,27,23,0
3,1,0,1,31,21,0
3,2,0,1,30,45,0
3,3,0,1,40,45,0
3,4,0,1,50,45,0
3,5,0,1,55,42,0
3,6,1,3,30,34.21,0
3,7,1,3,50,42,0
3,8,1,3,29.35,28.06,0
3,9,1,4,40,35.94,0
3,10,1,3,35.52,29.22,0
3,11,1,3,37.69,33.11,0
4,0,0,2,27,23,0
4,1,0,1,31,21,0
4,2,0,1,30,45,0
4,3,0,1,40,45,0
4,4,0,1,50,45,0
4,5,0,1,55,42,0
4,6,1,3,30,33.32,0
4,7,1,3,50,42,0
4,8,1,4,40,35.94,0
4,9,1,3,29.37,28.07,0
4,10,1,3,34.29,26.98,0
4,11,1,3,37.7,33.12,0
5,0,0,3,27,23,0
5,1,0,1,31,21,0
5,2,0,1,30,45,0
5,3,0,2,40,45,0
5,4,0,1,50,45,0
5,5,0,1,55,42,0
5,6,1,5,30,42.26,0
5,7,1,3,37.34,38.74,0
5,8,1,3,31.27,30.99,0
5,9,1,4,50,42,0
5,10,1,3,31.81,38.5,0
5,11,1,3,33.48,25.5,0
5,12,1,3,40.46,44.46,0
5,13,1,3,34.51,31.75,0
5,14,1,3,41.49,39.35,0
5,15,1,3,35.77,34.04,0
6,0,0,2,27,23,0
6,1,0,2,31,21,0
6,2,0,1,30,45,0
6,3,0,1,40,45,0
6,4,0,1,50,45,0
6,5,0,1,55,42,0
6,6,1,3,30,33.58,0
6,7,1,3,29.58,28.2,0
6,8,1,3,50,42,0
6,9,1,3,40,35.94,0
6,10,1,4,33.9,30.82,0
6,11,1,3,37.5,32.91,0
6,12,1,3,35.89,31.06,0
7,0,0,1,27,23,0
7,1,0,1,31,21,0
7,2,0,1,30,45,0
7,3,0,2,40,45,0
7,4,0,1,50,45,0
7,5,0,1,55,42,0
7,6,1,3,50,42,0
7,7,1,3,30,39.57,0
7,8,1,4,32.08,32.24,0
7,9,1,3,35.14,28.54,0
7,10,1,3,41.77,37.01,0
7,11,1,3,38.57,38.41,0
8,0,0,1,27,23,0
8,1,0,1,31,21,0
8,2,0,1,30,45,0
8,3,0,2,40,45,0
8,4,0,1,50,45,0
8,5,0,1,55,42,0
8,6,1,3,50,42,0
8,7,1,3,30,38.46,0
8,8,1,3,29.07,26.77,0
8,9,1,3,36.69,31.34,0
